Title	Release Year	Genre	Director	Cast	Plot	Origin/Ethnicity
Decoding Annie Parker	2014	drama	Steven Bernstein	"Samantha Morton
Helen Hunt
Aaron Paul"	"11-year-old Annie Parker is living the perfect young life, loved by all, and especially by her mother, father, and older sister. But none of them knows that something horrible is stalking their perfect family. On a fall afternoon in 1976, young Annie hears a noise from upstairs. Her mother has collapsed and died, and an agonizing downward spiral begins.
At UC Berkeley a brilliant research geneticist named Mary-Claire King is embarking on something of a personal crusade to uncover the genetic roots of breast cancer. While still in her twenties, she has already made a famous discovery that made the cover of Science—quantifying the genetic variation between humans and chimpanzees.[2] But her conviction that there is a hereditary basis to at least some forms of breast cancer is not widely shared. Nevertheless, her tireless research throughout the 1980s would end in a medical breakthrough—the discovery of the location of the BRCA1 hereditary breast cancer gene—considered one of the most important scientific discoveries of the twentieth century.[3]
At the age of 19, after the sudden death of her father, Anne marries Paul and soon is pregnant. She struggles to find a way in the world with her equally young but misguided husband and her older sister, Joan Parker who tries to become a surrogate parent to Anne. But, cruelly, Joan contracts the same cancer that killed their mother, and in a few months, she, too, is dead.
Annie is diagnosed with the same disease that killed her mother and sister—breast cancer. It is severe, and surgery and chemotherapy, with all its accompanying difficulties, soon follows. She loses her hair, and if that wasn't enough to endure, her husband, never really mature or stable, has begun an affair with Anne’s closest friend Louise, and leaves her. Ironically Paul is soon diagnosed with cancer and expires shortly before she is diagnosed with a second cancer.
With the help of a young doctor, Sean, and a new friend, Kim, Anne continues her fight. As each tragedy befalls her, she grows stronger.
While Annie struggles, King is pursuing her belief that some forms of breast and ovarian cancer have a hereditary basis. While she captures headlines for her work applying DNA fingerprinting to help reunite ""the disappeared"" with their families in Argentina, her priority is to map the breast cancer gene.
King focuses on collecting families with a particularly high incidence of breast cancer, suspecting that these cases are most likely to reveal any genetic predispositions. Advances in genetic mapping through the 1980s gradually allow her team to embark on studies to map the location of the BRCA1 gene. Finally, in 1990, King and her team find conclusive evidence linking DNA markers on chromosome 17 with an inherited flaw in a gene dubbed BRCA1. The work was presented at the American Society of Human Genetics conference in Cincinnati, and published in Science magazine a short time later.[4]
Mary Claire King ended up on the cover of Time magazine, and Anne Parker finally had the answer she herself had long sought. Anne Parker happily remarried, and a few years later contracts cancer for a third time. And survives again. And she laughed while being treated, for reasons only she knew and understood."	American
Shin Godzilla	2016	drama	Hideaki Anno, Shinji Higuchi	Hiroki Hasegawa, Satomi Ishihara, Yutaka Takenouchi, Kengo Kora, Ren Osugi, Akira Emoto	"When the Japan Coast Guard investigates an abandoned yacht in Tokyo Bay, their boat is destroyed and the Tokyo Bay Aqua-Line is flooded. After seeing a viral video of the incident, Deputy Chief Cabinet Secretary Rando Yaguchi theorizes that it was caused by a living creature. His theory is confirmed when news reports show a massive tail emerging from the ocean. The Prime Minister assures the public that the creature is unable to come onto land due to its weight, but it moves inland via rivers and makes landfall. It moves through the city, leaving a path of destruction and numerous civilian casualties. It evolves into a red-skinned form that can stand upright on its hind legs, and returns to the sea.
The government officials focus on military strategy and civilian safety, while Yaguchi is put in charge of a task force to research the creature. Due to high radiation readings, the group theorizes that it is energized by nuclear fission. The U.S. sends a special envoy, Kayoko Anne Patterson, who reveals that a disgraced, vehemently anti-nuclear zoology professor, Goro Maki, had been studying mutations caused by radioactive contamination and theorized the appearance of the creature, but the U.S. covered it up. The abandoned yacht belonged to Maki and he left his research notes there before disappearing.
The creature, named Godzilla after Maki's research, reappears, now twice its original size, and makes landfall near Kamakura en route for Tokyo. The Japan Self-Defense Forces mobilize, but their attacks have no effect and they are forced to withdraw to protect civilians. The U.S. intervenes based on defending their embassy, prompting the evacuation of civilians and government officials. U.S. B-2 bombers bombard Godzilla; Godzilla responds with highly destructive atomic rays fired from its mouth and dorsal fins, which hit and destroy the helicopter carrying the top government officials. The battle leaves radiation fallout and destruction in a huge part of Tokyo. After depleting its energy, Godzilla enters a dormant state and becomes immobile.
Yaguchi's team discovers that Godzilla's fins and blood work as a cooling system and theorize that they could use a coagulating agent to freeze it. After analyzing tissue samples, they find that Godzilla is an ever-evolving creature, able to reproduce asexually. The United Nations, aware of this, informs Japan that they will allow the use of thermonuclear weapons against Godzilla. Evacuations are ordered in multiple prefectures. Unwilling to see nuclear weapons detonated in Japan again, Patterson decides to use her political connections to buy time for Yaguchi's team, who the interim government has little faith in. Yaguchi's team has a breakthrough and procure the means to conduct their deep freeze plan through international cooperation.
Hours before the planned nuclear attack, Japan enacts the deep freeze plan. Godzilla is provoked into using its atomic breath with a large number of drones until it depletes. The team then detonates explosives in nearby buildings, knocking Godzilla down and giving the tankers full of coagulant access to inject it into Godzilla's mouth. Though many people are killed in the process, Godzilla is frozen solid. In the aftermath, it is discovered that the Godzilla fallout has a very short half-life and that Tokyo can be reconstructed. The international community agrees to cancel the strike but has the new Japanese government agree that, in the event of Godzilla's reawakening, an immediate thermonuclear strike will be executed. Godzilla's tail shows humanoid Godzilla-like creatures frozen in the middle of emerging."	Japanese
Soulless 2	2015	drama	Roman Prygunov	"Danila Kozlovsky,
Mariya Andreyeva,
Miloš Biković,
Pavel Vorozhtsov"	"Escaping criminal prosecution in Russia, former bank executive manager Maxim Andreev (Danila Kozlovsky) lives in Bali, surfing and enjoying the sun and the ocean. Once he saves a life for an amateur surfer, who turns out to be the young head of the Russian state corporation that finances innovation. In gratitude, Roman (Miloš Biković) offers Max a job in Moscow. When news of this leaks, representatives of the Russian special services who are seeking compromising evidence against the state corporation, seek the expulsion of Andreev to Russia and demand from him that he accept Roman's proposal and gather material on his boss. Since otherwise he faces a prison, Max reluctantly becomes a ""snitch"" and again plunges into the world of Moscow's glamor."	Russian
Two Women	2015	drama	Vera Glagoleva	"Anna Vartanyan,
Ralph Fiennes,
Aleksandr Baluev,
Sylvie Testud"	"At the heart of the play lies the love quadrangle. Natalya Petrovna, the wife of the rich landowner Arkady Sergeich Islaev, falls in love with Alexey Nikolayevich Belyaev - a student, teacher Kolya Islaeva.
Mikhail Aleksandrovich Rakitin - a friend of the family, has long loved Natalya Petrovna. Verochka - a pupil of Natalya Petrovna also falls in love with Kolya's teacher. Belyaev and Rakitin eventually leave the estate ..."	Russian
Werewolf	2016	drama	Ashley McKenzie	Andrew Gillis, Bhreagh MacNeil	Werewolf centres on Blaise (Andrew Gillis) and Vanessa (Bhreagh MacNeil), two drug addicts living in New Waterford, Nova Scotia.[5]	Canadian
The Anthem of the Heart	2017	drama	Tatsuyuki Nagai, Naoto Kumzawa	Kyoko Yoshine, Kento Nakajima, Anna Ishii, Ichiro Kan, Nene Otsuka, Yoshiyoshi Arakawa	"The story revolves around a girl named Jun Naruse, a chatterbox. One day she sees her father come out from one love hotel with another woman and tells her mother, resulting in her parents' divorce. Her father blames her, saddening Jun. While she is crying, a fairy egg appears and seals her words so she won't hurt people again.
When Jun is in high school, as the result of the ""curse"", Jun is unable to speak. Her homeroom teacher, Kazuki Jōshima, signs her up to Charity Committee members along with three other people: Takumi Sakagami, Natsuki Nitō, and Daiki Tasaki. Going to the committee room to properly reject becoming a committee member, Jun hears Takumi singing and is captivated. She then tells Takumi of her past and requests him to turn her words into a song, thinking that the curse won't apply if she's singing.
Jun, Takumi, and Natsuki decide to hold a musical performance, something that Daiki refuses as he mocks Jun for being unable to talk, but Jun proves herself by singing in front of the class. They decide to do a musical based on Jun's experience in the form of a fairy tale. While discussing the musical, Daiki has a falling out with his teammates that is stopped by Jun, who consequently has another stomachache for talking, but this improves her bonds with Takumi, Natsuki, and Daiki. Misunderstanding Takumi's concern for Jun as a sign that he is falling in love with her, Natsuki tells Takumi that she will cheer them on despite her own feelings for Takumi.
The next day, Daiki makes amends with his teammates. As they spend time together preparing for the musical, Jun starts to develop feelings for Takumi, while Daiki starts to develop feelings for Jun. Daiki asks Takumi regarding his relationship with Natsuki, having heard rumours that both of them were dating during middle school, but Takumi denies this since Natsuki had told her classmates then that they were not dating when she was asked. At the night before the musical, Takumi asks Natsuki about the boy she's dating currently, leading Natsuki to finally reveal that the boy she's referring to is none other than Takumi himself, before she accuses him of falling in love with Jun. Takumi reveals that while he is concerned about Jun, he is not in love with her and he has always regretted not trying to convey his feelings for Natsuki during middle school even when he was aware of her feelings for him at that time. Unbeknownst to them, Jun overhears their conversation. Heartbroken, she runs away and meets the fairy egg, who reveals that she has worsened the curse by trying to convey her feelings for Takumi. Jun doesn't show up on the day of the musical, leaving Natsuki to fill her role while Takumi frantically goes searching for her.
Takumi finds Jun at the love hotel that has been shut down. To his surprise, she is able to talk normally. Jun angrily lashes out at Takumi as he tells her that the reason she is unable to convey her words is not because of the fairy egg's curse but because of Jun's own fear. Wanting to hear her voice once more, Takumi allows Jun to lash out all of her anger and frustration until she is satisfied. Jun confesses her feelings for Takumi, but it is revealed that Takumi is still in love with Natsuki, to which Jun replies that she knew. Takumi then expresses his gratitude for Jun because before he met her, he was unable to say what he truly felt properly and only went along with everyone else. This convinces Jun to perform in the musical. Jun and Takumi arrives just in time before the final scene, allowing Jun to sing and convey her feelings to her mother who finally understands what she had been through. As the musical ends, Jun realises that the fairy egg was actually nothing but an imagination that she created to have someone she could blame for her condition, and now she decides to open up her heart, coming to terms with her past.
As the movie ends, Takumi and Natsuki reconciles their relationship, while Daiki finally confesses his feelings to Jun."	Japanese
Call Me by Your Name	2017	drama	Luca Guadagnino	Luca Guadagnino (director); James Ivory (screenplay);Timothée Chalamet, Armie Hammer, Michael Stuhlbarg, Amira Casar, Esther Garrel, Victoire Du Bois	"Elio, a 17-year-old Jewish-American-Italian youth, lives with his parents in rural Northern Italy. His father, a professor of archaeology, invites a 24-year-old Jewish-American graduate student, Oliver, to live with him and his family over the summer and help with his academic paperwork. Elio, an introspective bibliophile and musical prodigy, initially finds little in common with Oliver, who has a contrastingly carefree and exuberant personality. Elio resents having to give up his bedroom for Oliver for the duration of his stay. He spends much of the summer reading, playing piano, and hanging out with his girlfriend, Marzia. Oliver is meanwhile attracted to one of the local girls, much to Elio's annoyance.
Elio and Oliver begin a seductive courtship: they swim together, go for long walks into town, and accompany Elio's father on an archaeological trip. Elio begins a sexual relationship with Marzia and brags about it in front of Oliver to gauge his reaction, but nonetheless finds himself increasingly attracted to Oliver. He sneaks into Oliver's room to smell his bathing suit, and thinks about him while masturbating. During a trip to the post office, Elio confesses his feelings to Oliver, who tells him he should not act on them. Later that day, Elio and Oliver kiss, but Oliver is reluctant to go any further. The two grow distant.
In response to a note from Elio, Oliver leaves a note on Elio's desk telling Elio to meet him at midnight. Elio spends the day with Marzia but longs to see Oliver. At midnight, he approaches Oliver and they have sex. They become more physically and emotionally intimate over the next few days, having sex frequently while keeping their relationship secret. Smitten with Oliver by this point, Elio starts avoiding Marzia.
As the end of Oliver's stay approaches, the couple find themselves overcome by uncertainty and longing. Elio's parents, who are aware of the bond between the two, recommend they visit Bergamo together before Oliver returns to the United States. After spending three romantic days together, Elio, heartbroken, calls his mother and asks her to pick him up and take him home. Marzia, who still wants to be friends with Elio, is sympathetic; his father, seeing Elio's sadness, tells him he was aware of their relationship, confesses to almost having had a similar relationship in his own youth, and urges Elio to find pleasure in his grief.
During Hanukkah, Oliver telephones Elio and his family to tell them he is engaged to be married. Oliver tells Elio he ""remembers everything"" very clearly. After the call, Elio sits by the fireplace, distraught, as his parents and the house staff prepare a holiday dinner."	American
 Ali's Wedding	2017	drama	Jeffrey Walker	Osamah Sami, Don Hany, Helana Sawires	After a reckless lie sets off a catastrophic chain of events, Ali (Osamah Sami), son of a Muslim cleric (Don Hany), finds himself caught between his sense of duty and following his heart – to follow through with his arranged marriage, or be with the girl he loves.[5]	Australian
McFarland, USA	2015	drama	Niki Caro	"Kevin Costner
Maria Bello
Morgan Saylor
Carlos Pratts"	Jim White, a football coach, loses his job and moves with his family to take a new job at McFarland High School in McFarland, California, which is predominantly Latino. Discovering that some of his students are strong runners, he organizes a boys' cross country team with seven members who have little hope for their future. They become a close-knit, mutually supportive unit. Under White's guidance the school's cross country team becomes outstandingly successful, winning nine state titles over the years. With respect to that first team, all its members escaped from the cycle of poverty in their lives, being first in their families to go to college or into military careers. Almost all members continue to attend the practice that Jim White held for successive school cross country teams even after graduation from college.	American
Nelly	2016	drama	Anne Émond	Mylène Mackay	"Isabelle Fortier is a young girl who develops a relationship and becomes engaged to a man, with whom she shares a cocaine habit. Their relationship deteriorates. Taking the pseudonym Cynthia, Isabelle becomes a prostitute. She receives rave online customer reviews, from clients who praise her for her physical features, service and aptitude in various sex acts. She begins to write about her experiences, submitting her first novel under the pen name Nelly Arcan to an editorial committee, who regard it with a combination of shock and interest. The publisher Mathieu travels to Montreal to meet her, inquiring if the stories contained in the novel are autobiographical. Initially questioning the importance of the novel's truthfulness, Nelly replies the stories are a combination of reality and invention. She also lies and says she is 26, as she had always wished to be published before turning 30.
The novel exceeds the bestseller benchmark of 5,000 sales, with 30,000 copies sold in Quebec and France. Nelly receives critical acclaim and is nominated for prestigious European literary awards. At the same time, she is conflicted about the exposure, feeling as if she lost something with the publication of the novel. Her adoring public is intrigued and eager to learn more about whether the stories she tells are true, while she becomes panicked that her next book may not sell or may be a critical failure. One reader inquires about an episode in her work where a prostitute jumps from a building to escape a violent client, which Nelly had extracted from a dream, and questions her about her later books falling in sales.
In confession, Nelly speaks of how everything in her life seems to be killing her, and questions if Nelly Arcan or Isabelle Fortier is the real mask. She finally commits suicide after three books have been published, with a fourth published posthumously."	Canadian
